Brain Region,%presyn,total presyn,%postsyn,total postsyn
WED(R),93.69423524461352,232898,27.96817215270961,1685945
a'1(R),96.23287671232876,16352,84.13423196609799,63949
a'2(R),95.59211124238844,11003,87.19875180028805,41660
a'3(R),96.42126789366053,11736,86.5116671233743,47441
a'L(L),90.66248636859325,7336,68.94667681029117,28918
a'L(R),96.10907881609577,39091,85.70532505717085,153050
a1(R),96.3109634551495,37625,92.27249902360096,125461
a2(R),95.87178241864983,22649,89.0547984923166,82776
a3(R),90.54442893364862,35101,91.04995266988408,128882
aL(L),85.79336205164833,44803,77.60036659247534,168034
aL(R),94.08440366972476,95375,91.01504216611939,337119
b'1(R),94.54718520533044,22062,87.86139144849105,82044
b'2(R),96.71290513444218,45633,87.74313702322074,177729
b'L(L),95.4915054842393,57802,84.5226083983097,236881
b'L(R),96.00709062707733,67695,87.78048526983174,259773
b1(R),93.9975500204165,39184,87.33967988283294,143385
b2(R),96.87108494111752,31928,90.19573193308426,118836
bL(L),94.76351638633311,58799,87.28908936826578,223021
bL(R),95.28771515356058,71112,88.6340148195606,262221
dACA(R),92.73321403563371,12853,31.407395984926605,103759
g1(R),95.39208023967696,30708,87.16320381205985,114164
g2(R),92.8187498294726,36651,85.5936558198964,144006
g3(R),94.30185826270343,25131,89.9197592778335,99700
g4(R),94.75250143253847,45374,86.69924143685276,183373
g5(R),96.60080676241618,38921,91.87960798998024,154894
gL(L),94.32896079726241,133256,84.03718256844567,550473
gL(R),94.80555476991826,176785,88.16052012750364,696137
lACA(R),96.0539979231568,963,60.37417358278239,7109
mALT(L),82.19484882418813,1786,47.86704585851404,5626
mALT(R),84.33413397384575,3747,46.628538747497856,17485
vACA(R),96.8677494199536,862,58.057851239669425,5324
